Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.94	170	0	3
Fuente_2	7.35	195	2	1
Fuente_3	7.09	145	1	2
Fuente_4	6.83	150	0	0
Fuente_5	7.24	193	2	3
Fuente_6	6.89	200	0	1
Fuente_7	7.12	182	1	2
Fuente_8	7.26	160	3	0
Fuente_9	7.04	168	1	3
Fuente_10	7.37	197	0	2
Fuente_11	7.18	195	2	1
Fuente_12	7.23	180	1	0
Fuente_13	7.35	195	3	3
Fuente_14	6.77	135	0	2
Fuente_15	6.88	156	1	1
Fuente_16	7.12	182	0	0
Fuente_17	6.77	190	2	3
Fuente_18	7.26	193	1	2
Fuente_19	6.93	180	0	1
Fuente_20	7.09	145	3	0
Fuente_21	7.35	195	1	3
Fuente_22	6.77	155	2	2
Fuente_23	7.04	168	0	1
Fuente_24	7.12	182	2	0
Fuente_25	6.89	200	1	3
