Parametros	pH   Conductividad Turbidez Coliformes
Fuente_1	6.43	121	1	0
Fuente_2	7.34	148	0	1
Fuente_3	6.89	256	1	2
Fuente_4	7.33	235	2	1
Fuente_5	7.42	210	1	0
Fuente_6	6.89	144	0	0
Fuente_7	7.56	243	3	2
Fuente_8	7.52	149	0	0
Fuente_9	8.01	138	1	0
Fuente_10	7.66	121	0	0
Fuente_11	7.26	204	0	2
Fuente_12	7.86	216	2	1
Fuente_13	7.45	137	1	0
Fuente_14	7.10	121	1	1
Fuente_15	6.86	132	1	1
Fuente_16	6.35	122	0	2
Fuente_17	7.28	200	2	1	
Fuente_18	7.84	204	3	2
Fuente_19	7.31	211	1	2	
Fuente_20	7.51	246	2	0
Fuente_21	7.14	243	1	1
Fuente_22	7.51	127	0	1
Fuente_23	6.74	166	1	0
Fuente_24	7.53	176	0	1
Fuente_25	7.39	203	2	1
