Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.71	177	0	1
Fuente_2	6.45	221	2	0
Fuente_3	7.92	138	1	2
Fuente_4	7.06	186	0	1
Fuente_5	7.79	215	1	1
Fuente_6	6.87	124	2	3
Fuente_7	6.59	193	1	0
Fuente_8	7.41	175	3	2
Fuente_9	7.15	207	2	1
Fuente_10	6.23	123	0	1
Fuente_11	7.65	189	0	2
Fuente_12	7.96	146	3	1
Fuente_13	6.87	230	2	0
Fuente_14	6.74	121	1	1
Fuente_15	7.23	198	0	2
Fuente_16	7.10	135	0	0
Fuente_17	6.40	219	3	3
Fuente_18	7.87	146	1	1
Fuente_19	6.52	178	0	2
Fuente_20	7.39	205	2	3
Fuente_21	7.02	133	1	1
Fuente_22	7.54	221	0	2
Fuente_23	7.68	132	2	1
Fuente_24	6.28	207	0	1
Fuente_25	7.07	182	1	2
