Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.15	163	0	1
Fuente_2	7.38	202	2	2
Fuente_3	7.02	180	1	0
Fuente_4	7.21	195	3	3
Fuente_5	6.97	175	1	2
Fuente_6	7.42	210	0	1
Fuente_7	7.06	185	2	0
Fuente_8	6.85	160	0	3
Fuente_9	7.24	193	3	2
Fuente_10	6.93	180	1	1
Fuente_11	7.51	225	0	2
Fuente_12	6.77	155	2	0
Fuente_13	7.12	182	0	3
Fuente_14	6.89	200	1	1
Fuente_15	7.18	195	3	2
Fuente_16	7.09	145	0	1
Fuente_17	6.88	160	2	0
Fuente_18	7.37	197	1	3
Fuente_19	7.04	168	0	2
Fuente_20	7.35	195	2	1
Fuente_21	7.23	180	1	0
Fuente_22	6.77	135	0	3
Fuente_23	7.35	190	3	2
Fuente_24	6.89	200	1	1
Fuente_25	7.12	182	0	0
