Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.52	195	1	2
Fuente_2	6.84	128	0	3
Fuente_3	7.13	217	2	1
Fuente_4	6.67	135	0	0
Fuente_5	7.86	207	1	2
Fuente_6	7.27	189	3	1
Fuente_7	7.04	145	1	0
Fuente_8	6.71	200	2	3
Fuente_9	7.43	175	0	2
Fuente_10	6.98	152	1	1
Fuente_11	7.65	195	0	0
Fuente_12	6.82	225	2	1
Fuente_13	7.16	160	0	2
Fuente_14	7.53	195	3	1
Fuente_15	6.93	180	1	0
Fuente_16	7.09	132	0	3
Fuente_17	7.32	205	2	2
Fuente_18	6.77	185	0	1
Fuente_19	7.28	165	1	2
Fuente_20	6.87	195	3	3
Fuente_21	7.14	150	1	0
Fuente_22	6.98	175	0	1
Fuente_23	7.35	190	2	2
Fuente_24	6.77	185	1	1
Fuente_25	7.21	170	3	2
