Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.82	190	1	2
Fuente_2	7.54	200	0	1
Fuente_3	7.01	180	2	3
Fuente_4	6.77	210	1	1
Fuente_5	7.26	220	0	0
Fuente_6	7.63	170	3	2
Fuente_7	6.94	190	1	0
Fuente_8	7.09	160	2	1
Fuente_9	7.87	195	1	3
Fuente_10	6.71	200	0	2
Fuente_11	6.58	210	3	1
Fuente_12	7.35	180	1	1
Fuente_13	7.04	220	2	0
Fuente_14	6.68	190	1	2
Fuente_15	7.79	170	0	0
Fuente_16	7.26	180	2	1
Fuente_17	6.92	190	1	0
Fuente_18	7.51	205	3	2
Fuente_19	6.77	195	0	3
Fuente_20	7.14	180	2	1
Fuente_21	7.92	220	1	0
Fuente_22	6.89	170	0	1
Fuente_23	7.18	200	2	2
Fuente_24	6.55	190	0	1
Fuente_25	7.35	160	1	2
