Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.82	190	1	3
Fuente_2	7.54	215	2	2
Fuente_3	7.01	175	0	1
Fuente_4	6.77	202	1	0
Fuente_5	7.26	142	3	1
Fuente_6	7.63	185	2	2
Fuente_7	6.94	156	1	2
Fuente_8	7.09	196	0	1
Fuente_9	7.87	138	2	3
Fuente_10	6.71	223	1	0
Fuente_11	6.58	131	0	2
Fuente_12	7.35	198	3	1
Fuente_13	7.04	144	1	1
Fuente_14	6.68	210	2	0
Fuente_15	7.79	176	0	2
Fuente_16	7.26	186	1	1
Fuente_17	6.92	129	2	2
Fuente_18	7.51	207	1	0
Fuente_19	6.77	164	0	1
Fuente_20	7.14	222	3	2
Fuente_21	7.92	152	1	0
Fuente_22	6.89	180	2	1
Fuente_23	7.18	195	0	0
Fuente_24	6.55	136	1	3
Fuente_25	7.35	212	2	1
