Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.89	200	0	1
Fuente_2	7.23	180	2	2
Fuente_3	7.04	168	1	0
Fuente_4	7.35	195	0	3
Fuente_5	7.26	193	2	2
Fuente_6	7.12	182	1	1
Fuente_7	6.77	155	0	0
Fuente_8	7.18	195	2	3
Fuente_9	7.09	145	1	1
Fuente_10	7.35	195	0	2
Fuente_11	6.88	156	3	3
Fuente_12	7.26	193	1	0
Fuente_13	7.04	168	2	1
Fuente_14	6.89	200	0	2
Fuente_15	7.12	182	1	3
Fuente_16	7.23	180	2	0
Fuente_17	7.35	195	0	1
Fuente_18	7.09	145	1	2
Fuente_19	7.26	193	2	3
Fuente_20	7.18	195	0	0
Fuente_21	6.77	135	3	1
Fuente_22	7.12	182	1	2
Fuente_23	7.23	180	2	3
Fuente_24	6.88	156	3	0
Fuente_25	7.04	168	1	1
