Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.95	218	0	2
Fuente_2	7.12	182	2	1
Fuente_3	7.61	199	1	0
Fuente_4	6.83	150	3	3
Fuente_5	7.25	186	0	2
Fuente_6	6.94	170	1	1
Fuente_7	7.37	195	0	0
Fuente_8	6.77	135	2	2
Fuente_9	7.54	205	1	3
Fuente_10	6.98	145	0	1
Fuente_11	7.23	180	2	2
Fuente_12	6.77	155	1	0
Fuente_13	7.18	195	0	3
Fuente_14	7.81	225	2	1
Fuente_15	7.04	168	1	2
Fuente_16	6.77	192	0	1
Fuente_17	7.35	170	3	0
Fuente_18	6.89	200	1	3
Fuente_19	7.42	175	0	2
Fuente_20	6.68	198	2	1
Fuente_21	7.09	145	1	0
Fuente_22	6.93	185	0	3
Fuente_23	7.26	160	3	2
Fuente_24	6.77	190	1	1
Fuente_25	7.51	205	0	0
