Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.35	195	2	0
Fuente_2	7.26	193	0	1
Fuente_3	6.88	156	1	2
Fuente_4	7.12	182	3	3
Fuente_5	7.04	168	2	0
Fuente_6	7.18	195	0	1
Fuente_7	6.77	190	1	2
Fuente_8	7.23	180	3	3
Fuente_9	7.09	145	0	0
Fuente_10	6.89	200	2	1
Fuente_11	7.12	182	1	2
Fuente_12	7.35	195	0	3
Fuente_13	6.77	155	2	0
Fuente_14	7.26	193	1	1
Fuente_15	6.93	180	0	2
Fuente_16	7.04	168	3	3
Fuente_17	6.89	200	2	0
Fuente_18	7.12	182	0	1
Fuente_19	7.35	195	1	2
Fuente_20	6.77	135	3	3
Fuente_21	7.23	180	0	0
Fuente_22	7.09	145	2	1
Fuente_23	6.88	156	1	2
Fuente_24	7.12	182	0	3
Fuente_25	7.26	193	3	0
