Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.09	145	1	2
Fuente_2	7.26	193	3	0
Fuente_3	7.35	195	0	1
Fuente_4	7.04	168	2	3
Fuente_5	6.88	156	1	0
Fuente_6	6.77	190	3	1
Fuente_7	7.18	195	0	2
Fuente_8	7.12	182	1	3
Fuente_9	6.89	200	2	0
Fuente_10	7.35	195	0	1
Fuente_11	7.23	180	3	2
Fuente_12	7.26	193	1	3
Fuente_13	7.04	168	2	0
Fuente_14	6.77	155	1	1
Fuente_15	6.88	156	3	2
Fuente_16	7.09	145	0	3
Fuente_17	7.12	182	2	0
Fuente_18	7.18	195	1	1
Fuente_19	7.35	195	0	2
Fuente_20	6.77	135	3	3
Fuente_21	7.23	180	1	0
Fuente_22	7.26	193	2	1
Fuente_23	7.04	168	0	2
Fuente_24	6.89	200	3	3
Fuente_25	7.12	182	1	0
