Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.82	210	1	2
Fuente_2	7.54	190	0	1
Fuente_3	7.01	180	2	3
Fuente_4	6.77	200	1	1
Fuente_5	7.26	220	0	0
Fuente_6	7.63	160	3	2
Fuente_7	6.94	230	1	0
Fuente_8	7.09	170	2	1
Fuente_9	7.87	195	1	3
Fuente_10	6.71	190	0	2
Fuente_11	6.58	200	3	1
Fuente_12	7.35	180	1	1
Fuente_13	7.04	210	2	0
Fuente_14	6.68	195	1	2
Fuente_15	7.79	175	0	0
Fuente_16	7.26	185	2	1
Fuente_17	6.92	190	1	0
Fuente_18	7.51	205	3	2
Fuente_19	6.77	195	0	3
Fuente_20	7.14	180	2	1
Fuente_21	7.92	220	1	0
Fuente_22	6.89	160	0	1
Fuente_23	7.18	230	2	2
Fuente_24	6.55	210	0	1
Fuente_25	7.35	170	1	2
