Parametros	pH	Conductividad Turbidez Coliformes
Fuente_1	6,1	101	0	0
Fuente_2	7,00	159	0	0
Fuente_3	6,85	268	1	0
Fuente_4	7,15	225	2	1
Fuente_5	7,24	199	0	0
Fuente_6	6,76	159	0	0
Fuente_7	7,56	278	4	2
Fuente_8	7,68	153	1	0
Fuente_9	7,91	135	1	0
Fuente_10	7,73	105	0	0
Fuente_11	7,36	201	0	1
Fuente_12	7,65	210	0	0
Fuente_13	7,20	116	0	0
Fuente_14	7,10	117	1	1
Fuente_15	6,85	115	1	0
Fuente_16	6,91	119	1	0
Fuente_17	7,33	201	8	1
Fuente_18	7,44	270	3	3
Fuente_19	7,71	223	1	2
Fuente_20	7,42	217	0	0
Fuente_21	7,25	213	0	0
Fuente_22	7,50	124	0	0
Fuente_23	6,50	147	0	0
Fuente_24	7,53	156	1	0
Fuente_25	7,27	181	0	0
